Voie;Date de publication;Type;Sous-type;Note du rapport;Confiance;Fiabilité;Type de route;magvar;pubMillis;geom;uuid
Boulevard Bernard Palissy;2024-10-31T09:29:30+01:00;HAZARD;HAZARD_ON_SHOULDER_CAR_STOPPED;3;5;10;Secondaire;15;1730363370000;47.294846, 5.022276;3272a195-1188-4e1d-9180-35a2362090b1
Rue Pierre Lauterbach;2024-10-25T08:39:33+02:00;ROAD_CLOSED;ROAD_CLOSED_EVENT;5;0;7;Rues;280;1729838373000;47.284639, 5.046052;f1b16824-a5a0-4aa6-ba7d-b9a308762752
Rue du Colonel de Grancey;2024-10-31T08:19:28+01:00;HAZARD;HAZARD_ON_ROAD_POT_HOLE;3;0;8;Rues;190;1730359168000;47.321926, 5.049439;0c96d82d-d102-48b7-b5a0-f71cbcc1cf5c
Allée du 22 Janvier 1993;2024-10-28T17:16:19+01:00;HAZARD;HAZARD_ON_ROAD_POT_HOLE;5;5;10;Rues;314;1730132179000;47.273479, 5.058397;c01607be-e568-4fb5-aaa7-1c9ca9204fee
Rue de la Stéarinerie;2024-10-30T17:33:09+01:00;HAZARD;HAZARD_ON_ROAD_CONSTRUCTION;0;5;10;Rue principale;354;1730305989000;47.307417, 5.033972;b47bafe9-3a6b-426c-a8a2-7781e9e87fe4
;2024-10-31T09:31:21+01:00;HAZARD;HAZARD_ON_ROAD_POT_HOLE;0;0;5;Secondaire;225;1730363481000;47.338994, 5.106063;3936f406-3d93-44d7-aa37-f8a8aa623830
D974;2024-10-30T23:48:53+01:00;HAZARD;HAZARD_WEATHER_FOG;2;5;10;Primaire;38;1730328533000;47.389668, 5.057379;36bbbeed-6aae-4863-bcd7-5801d2349f86
Rue Alix de Vergy;2024-10-29T18:18:02+01:00;HAZARD;HAZARD_ON_ROAD_POT_HOLE;0;2;10;Rues;18;1730222282000;47.29038, 5.003168;9b5fe016-3a5e-4227-a0b4-913c141b0cdd
Boulevard de Beauregard;2024-10-31T08:40:35+01:00;HAZARD;HAZARD_WEATHER_FOG;1;5;10;Primaire;20;1730360435000;47.277039, 5.051301;63d01e4e-3d54-4749-bcab-4ae8e98806b0
Rue de Ruffey;2024-10-30T14:57:35+01:00;HAZARD;HAZARD_ON_ROAD_CONSTRUCTION;3;5;10;Rue principale;21;1730296655000;47.378164, 5.069398;ca939618-aa58-4639-9e0d-c5e290eb22fb
Boulevard de l'Ouest;2024-10-31T09:35:50+01:00;JAM;JAM_STAND_STILL_TRAFFIC;2;0;5;Primaire;301;1730363750000;47.324244, 5.016778;cfe739ee-0d52-474e-8704-cd35e02e269d
Rue Roger Salengro;2024-10-31T08:28:36+01:00;HAZARD;HAZARD_ON_ROAD_POT_HOLE;2;0;6;Rues;291;1730359716000;47.29125, 5.003598;e3649281-9e7b-4233-aab4-6ef8ca830417
M108;2024-10-31T06:45:57+01:00;HAZARD;HAZARD_WEATHER_FOG;4;5;10;Rue principale;160;1730353557000;47.307413, 4.935356;57bf2980-0a4a-4406-b60f-98d4c5213b16
D104;2024-10-31T07:15:26+01:00;HAZARD;HAZARD_WEATHER_FOG;3;5;10;Rue principale;68;1730355326000;47.375672, 4.909054;5a342238-c60a-423f-b7e1-38ed14a14f0a
Rue du Clos des Aiges;2024-08-14T11:38:51+02:00;ROAD_CLOSED;ROAD_CLOSED_EVENT;5;1;8;Rues;294;1723628331000;47.364753, 5.023007;248b4120-0175-41b4-af4b-78747fcd553b
M109;2024-10-31T08:17:23+01:00;HAZARD;HAZARD_ON_ROAD_OBJECT;3;1;7;Rue principale;200;1730359043000;47.264599, 5.164228;60f77d1e-8098-4305-a9a4-dd5ac7efe070
